"uniqueGroup","rowType","uniqueIndex","matchIndex","nUniqueGroup","alleleMismatch","matchThreshold","cutHeight","Psib","score","LOC1a","LOC1b","LOC2a","LOC2b","LOC3a","LOC3b","LOC4a","LOC4b","LOC5a","LOC5b","LOC6a","LOC6b","LOC7a","LOC7b","LOC8a","LOC8b","LOC9a","LOC9b","LOC10a","LOC10b"
"1","UNIQUE","1","1","2","2","0.9","0.1","9.84097837711721e-05","","103","108","201","201","314","318","405","417","514","519","603","618","709","715","804","816","911","914","1007","1015"
"1","MATCH","1","2","2","2","0.9","0.1","9.84097837711721e-05","1","103","108","201","201","314","318","405","417","514","519","603","618","709","715","804","816","911","914","1007","1015"
"2","UNIQUE","3","3","2","2","0.9","0.1","7.6700235101921e-05","","104","120","201","208","306","314","407","407","502","502","607","616","713","715","804","816","912","914","1006","1015"
"2","MATCH","3","4","2","2","0.9","0.1","7.6700235101921e-05","1","104","120","201","208","306","314","407","407","502","502","607","616","713","715","804","816","912","914","1006","1015"
"3","UNIQUE","5","5","2","2","0.9","0.1","4.755381397187e-05","","103","109","201","209","306","306","408","414","501","502","603","607","706","706","804","804","914","918","1006","1006"
"3","MATCH","5","6","2","2","0.9","0.1","4.755381397187e-05","1","103","109","201","209","306","306","408","414","501","502","603","607","706","706","804","804","914","918","1006","1006"
"4","UNIQUE","7","7","1","2","0.9","0.1","0.000147527555438071","","108","109","201","208","314","314","404","417","501","514","607","618","706","715","804","811","914","914","1006","1015"
"5","UNIQUE","8","8","1","2","0.9","0.1","4.20062196368826e-05","","104","110","207","208","307","317","417","417","516","516","603","603","717","719","804","812","907","914","1007","1019"
"6","UNIQUE","9","9","2","2","0.9","0.1","0.000127630848132018","","109","120","208","208","307","307","407","417","505","519","607","618","703","709","804","805","914","914","1007","1015"
"6","MATCH","9","10","2","2","0.9","0.1","0.000127630848132018","1","109","120","208","208","307","307","407","417","505","519","607","618","703","709","804","805","914","914","1007","1015"
"7","UNIQUE","11","11","2","2","0.9","0.1","0.000100870314036143","","108","109","201","208","306","317","404","413","502","514","603","607","703","719","812","816","911","911","1015","1015"
"7","MATCH","11","12","2","2","0.9","0.1","0.000100870314036143","1","108","109","201","208","306","317","404","413","502","514","603","607","703","719","812","816","911","911","1015","1015"
"8","UNIQUE","13","13","1","2","0.9","0.1","3.91984649146532e-05","","109","110","203","207","313","317","407","417","505","519","607","618","706","719","811","811","914","915","1018","1018"
"9","UNIQUE","14","14","2","2","0.9","0.1","8.9111773012628e-05","","108","120","208","209","307","313","417","417","502","516","602","618","703","715","811","816","911","914","1007","1015"
"9","MATCH","14","15","2","2","0.9","0.1","8.9111773012628e-05","1","108","120","208","209","307","313","417","417","502","516","602","618","703","715","811","816","911","914","1007","1015"
"10","UNIQUE","16","16","1","2","0.9","0.1","7.17718409894783e-05","","108","109","203","203","317","318","407","417","505","519","607","616","712","715","804","812","914","915","1015","1015"
"11","UNIQUE","17","17","2","2","0.9","0.1","6.79610528590075e-05","","103","109","208","208","306","307","404","413","502","519","602","603","709","717","816","816","911","914","1005","1007"
"11","MATCH","17","18","2","2","0.9","0.1","6.79610528590075e-05","1","103","109","208","208","306","307","404","413","502","519","602","603","709","717","816","816","911","914","1005","1007"
"12","UNIQUE","19","19","2","2","0.9","0.1","0.000200530393635651","","108","114","201","207","-99","-99","404","413","502","519","603","607","712","715","804","811","911","911","1015","1018"
"12","MATCH","19","20","2","2","0.9","0.1","0.000200530393635651","0.95","108","114","201","207","306","317","404","413","502","519","603","607","712","715","804","811","911","911","1015","1018"
