"uniqueGroup","rowType","uniqueIndex","matchIndex","nUniqueGroup","alleleMismatch","matchThreshold","cutHeight","Psib","score","metaData","LOC1a","LOC1b","LOC2a","LOC2b","LOC3a","LOC3b","LOC4a","LOC4b","LOC5a","LOC5b","LOC6a","LOC6b","LOC7a","LOC7b","LOC8a","LOC8b","LOC9a","LOC9b","LOC10a","LOC10b"
"","UNCLASSIFIED","208","","","6","0.7","0.3","","","ACN","103","115","-99","-99","-99","-99","405","411","-99","-99","-99","-99","712","718","-99","-99","908","912","1001","1002"
"","UNCLASSIFIED","251","","","6","0.7","0.3","","","ADA","111","117","205","219","-99","-99","411","416","511","514","-99","-99","-99","-99","807","819","903","908","-99","-99"
"1","UNIQUE","1","1","3","6","0.7","0.3","2.73065700040606e-05","","AAA","103","107","202","219","310","317","412","416","508","514","606","611","708","708","809","813","908","910","1002","1008"
"1","MATCH","1","3","3","6","0.7","0.3","6.7832131533028e-05","0.95","AAA","103","107","-99","-99","310","317","412","416","508","514","606","611","708","708","809","813","908","910","1002","1008"
"1","MATCH","1","2","3","6","0.7","0.3","0.00016520964641604","0.9","AAA","103","107","-99","-99","310","317","412","416","508","514","606","611","708","708","809","813","-99","-99","1002","1008"
"2","UNIQUE","4","4","2","6","0.7","0.3","0.000236059394175171","","AAB","103","112","-99","-99","306","316","411","411","504","514","608","608","708","712","817","819","903","908","1001","1008"
"2","MATCH","4","5","2","6","0.7","0.3","","0.85","AAB","103","112","202","206","306","316","411","411","504","504","-99","-99","708","712","817","819","903","908","1001","1008"
"3","CHECK_UNIQUE","6","6","3","6","0.7","0.3","0.00016824356321877","","AAC","117","117","206","219","302","317","411","411","514","514","-99","-99","703","703","802","807","908","910","1001","1004"
"3","MATCH","6","7","3","6","0.7","0.3","","0.95","AAC","117","117","206","219","302","317","411","411","514","514","-99","-99","703","718","802","807","908","910","1001","1004"
"3","MULTIPLE_MATCH","6","218","3","6","0.7","0.3","","0.7","ACP","116","117","206","219","-99","-99","408","411","514","514","-99","-99","-99","-99","807","807","908","908","1001","1004"
"4","UNIQUE","8","8","5","6","0.7","0.3","6.14436829898093e-05","","AAD","103","115","202","219","306","311","411","416","501","510","604","604","708","718","811","819","903","908","1008","1008"
"4","MATCH","8","10","5","6","0.7","0.3","6.14436829898093e-05","1","AAD","103","115","202","219","306","311","411","416","501","510","604","604","708","718","811","819","903","908","1008","1008"
"4","MATCH","8","11","5","6","0.7","0.3","","0.9","AAD","103","115","-99","-99","306","311","411","416","501","510","604","604","708","718","811","819","903","908","1008","1020"
"4","MATCH","8","12","5","6","0.7","0.3","","0.9","AAD","103","115","202","219","306","311","411","416","501","510","604","604","708","718","811","819","-99","-99","1008","1020"
"4","MATCH","8","9","5","6","0.7","0.3","","0.75","AAD","103","115","202","219","306","311","411","416","501","510","-99","-99","-99","-99","-99","-99","-99","-99","1008","1020"
"5","UNIQUE","13","13","4","6","0.7","0.3","4.90487236668438e-05","","AAE","115","116","202","202","302","313","409","411","501","504","606","608","718","718","807","812","908","919","1001","1001"
"5","MATCH","13","14","4","6","0.7","0.3","","0.95","AAE","115","116","202","219","302","313","409","411","501","504","606","608","718","718","807","812","908","919","1001","1001"
"5","MATCH","13","16","4","6","0.7","0.3","","0.95","AAE","115","116","202","219","302","313","409","411","501","504","606","608","718","718","807","812","908","919","1001","1001"
"5","MATCH","13","15","4","6","0.7","0.3","","0.9","AAE","115","116","202","219","302","313","409","411","501","504","606","608","718","718","807","812","908","919","-99","-99"
"6","UNIQUE","17","17","1","6","0.7","0.3","7.71753090702087e-05","","AAF","103","107","202","219","307","311","411","416","514","514","608","617","708","718","807","819","904","904","1001","1008"
"7","UNIQUE","18","18","4","6","0.7","0.3","3.92683633403361e-05","","AAG","107","112","202","202","306","312","409","409","501","514","604","608","708","718","817","817","908","919","1001","1004"
"7","MATCH","18","20","4","6","0.7","0.3","","0.9","AAG","107","112","202","202","306","312","409","411","501","501","604","608","708","718","817","817","908","919","1001","1004"
"7","MATCH","18","21","4","6","0.7","0.3","","0.9","AAG","-99","-99","202","202","306","312","409","411","501","514","604","608","708","718","817","817","908","919","1001","1004"
"7","MATCH","18","19","4","6","0.7","0.3","","0.8","AAG","107","107","202","202","-99","-99","409","411","-99","-99","604","608","708","718","817","817","908","919","1001","1004"
"8","UNIQUE","22","22","6","6","0.7","0.3","0.000189059716849554","","AAH","111","116","205","219","307","317","409","411","-99","-99","606","617","708","718","817","817","908","912","1001","1016"
"8","MATCH","22","25","6","6","0.7","0.3","0.000412728188302708","0.95","AAH","111","116","-99","-99","307","317","409","411","-99","-99","606","617","708","718","817","817","908","912","1001","1016"
"8","MATCH","22","26","6","6","0.7","0.3","","0.9","AAH","111","116","205","219","307","317","409","411","504","510","606","617","708","718","817","817","908","912","1001","1001"
"8","MATCH","22","27","6","6","0.7","0.3","0.000437183646858718","0.9","AAH","111","116","205","219","307","317","409","411","504","510","606","617","708","718","-99","-99","908","912","1001","1016"
"8","MATCH","22","23","6","6","0.7","0.3","","0.85","AAH","111","116","205","219","307","317","409","411","504","510","606","617","-99","-99","817","817","908","912","1001","1001"
"8","MATCH","22","24","6","6","0.7","0.3","","0.8","AAH","111","116","205","219","307","317","-99","-99","504","510","606","617","708","708","817","817","908","908","1001","1016"
"9","UNIQUE","28","28","5","6","0.7","0.3","9.18706448864189e-05","","AAI","112","115","205","205","313","313","411","411","508","519","606","608","703","708","817","817","908","920","1001","1008"
"9","MATCH","28","29","5","6","0.7","0.3","9.18706448864189e-05","1","AAI","112","115","205","205","313","313","411","411","508","519","606","608","703","708","817","817","908","920","1001","1008"
"9","MATCH","28","32","5","6","0.7","0.3","9.18706448864189e-05","1","AAI","112","115","205","205","313","313","411","411","508","519","606","608","703","708","817","817","908","920","1001","1008"
"9","MATCH","28","30","5","6","0.7","0.3","0.000296993114231333","0.95","AAI","112","115","205","205","-99","-99","411","411","508","519","606","608","703","708","817","817","908","920","1001","1008"
"9","MATCH","28","31","5","6","0.7","0.3","0.000238253168455655","0.95","AAI","112","115","-99","-99","313","313","411","411","508","519","606","608","703","708","817","817","908","920","1001","1008"
"10","UNIQUE","33","33","2","6","0.7","0.3","0.000285762081315123","","AAJ","-99","-99","206","219","311","316","411","411","514","518","608","617","708","718","807","817","908","910","1001","1004"
"10","MATCH","33","34","2","6","0.7","0.3","","0.9","AAJ","112","117","206","219","311","316","411","416","514","518","608","617","708","718","807","817","908","910","1001","1004"
"11","UNIQUE","35","35","1","6","0.7","0.3","0.000143554729491759","","AAK","115","115","205","219","312","316","411","416","501","514","604","606","703","706","807","817","908","908","1008","1008"
"12","UNIQUE","36","36","2","6","0.7","0.3","0.000118296248006099","","AAL","107","116","206","219","313","313","-99","-99","504","514","606","617","706","708","811","812","908","908","1016","1016"
